7	1	Magma rises from deep in the earth.
7	2	The magma goes into volcanos.
7	3	The volcanos pressure the magma upwards.
7	4	The pressure causes the magma to push through the surface of the volcano.
7	5	The lava cools.
7	6	The lava forms new rock.
7	7	New magma is pressured to the surface of the volcano.
7	8	The volcano bursts through the rock the formed after the last eruption.
11	1	Water from the ocean washes onto beaches in waves.
11	2	The waves contain sediment from the ocean.
11	3	The water and particles in it hit rocks and sand on the beach.
11	4	The wind and current sometimes push the water and particles harder.
11	5	Tiny parts of the rocks on the shore come off the larger rocks.
11	6	The waves pick up sand and small rocks from the beach.
11	7	The waves go back out into the ocean.
11	8	The waves carry the new particles with them.
11	9	Rocks and the beach look a little different.
13	1	Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
13	2	Water vapor condenses into millions of tiny droplets that form clouds.
13	3	Clouds lose these droplets through rain or snow, also caused precipitation.
13	4	Precipitation is either absorbed into the ground or runs off into rivers.
13	5	Water that was absorbed into the ground is taken up by plants.
13	6	Plants lose water from their surfaces as vapor.
13	7	The vapor goes back into the atmosphere.
13	8	Water that runs off into rivers flows into ponds, lakes, or oceans.
13	9	The water evaporates back into the atmosphere.
14	1	Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
14	2	Water vapor forms droplets in clouds.
14	3	Water droplets in clouds become rain or snow and fall.
14	4	Some water goes into the ground.
14	5	Some water flows down streams into rivers and oceans.
15	1	Water is on the earth in oceans, other bodies of water, and living creatures.
15	2	Water evaporates from the earth.
15	3	Water accumulates in the sky.
15	4	The water forms clouds in the sky.
15	5	Large amounts of water end up in bigger clouds as more water evaporates.
15	6	The clouds become heavy from all the water.
15	7	The water falls back to earth as rain or snow from the clouds.
20	1	Sediment settles in a place due to gravity.
20	2	The sediment breaks down into small particles.
20	3	Wind or water picks up the sediment.
20	4	The sediment travels along the same route as the wind or water.
20	5	The sediment is deposited at new locations by the wind or water.
20	6	The sediment is picked up again by new wind or water.
20	7	The sediment travels further.
20	8	The sediment is deposited again in a new place.
22	1	A large rocky area is formed.
22	2	The rocky area has a higher elevation than the surrounding areas.
22	3	Water from precipitation falls in the area.
22	4	The water forms a stream.
22	5	The stream flows towards lower elevation.
22	6	The stream becomes a river.
22	7	The river continues to flow along the same path for a long time.
22	8	The river erodes the rocky area that it touches.
22	9	The eroded area cuts deeply into the rock.
31	1	Limestone is located under the soil.
31	2	Rain picks up carbon dioxide as it falls to earth.
31	3	The rain falls on the soil over the limestone.
31	4	The carbon dioxide in the rain washes through the soil.
31	5	The carbon dioxide turns into acid.
31	6	The acid in the rain gets to the limestone below the soil.
31	7	The acid dissolves the limestone.
31	8	Acid continues to erode the limestone with more rain over time.
31	9	The eroded limestone sometimes forms caves.
34	1	Volcanos contain magma.
34	2	The magma is very hot.
34	3	The magma rises toward the surface of the volcano.
34	4	The magma cools.
34	5	The magma starts to harden as it cools.
34	6	The magma is sometimes released from the volcano as lava.
34	7	The magma or lava becomes a hard rock as it solidifies.
35	1	Different kinds of rocks melt into magma.
35	2	Magma cools in the crust.
35	3	Magma goes to the surface and becomes lava.
35	4	Lava cools.
35	5	Cooled magma and lava become igneous rock.
36	1	Magma rises to the surface during a volcano.
36	2	The magma undergoes changes in temperature.
36	3	The magma undergoes changes in pressure.
36	4	The magma cools.
36	5	The magma solidifies.
36	6	The magma crystallizes.
36	7	Igneous rock is formed.
41	1	The earth develops cracks deep beneath the surface.
41	2	The cracks get very long and big in some places.
41	3	The earth places pressure against the rocks on both sides of the cracks.
41	4	The pressure causes the rocks to press against each other very hard.
41	5	The cracks continue to develop.
41	6	The earth moves against itself on both sides of the cracks.
41	7	The pressure and movement around the cracks causes the rocks to crumble in some places.
41	8	A lot of energy is released.
41	9	The energy causes seismic waves.
41	10	The seismic waves move the earth in an earthquake.
43	1	Oceans, lakes, and rivers contain water.
43	2	The sun heats up the water.
43	3	The water evaporates from the heat.
43	4	The water moves to the sky as steam or as invisible vapor.
43	5	The water forms clouds in the sky.
43	6	The clouds become larger as they are filled with more water.
43	7	The air is cooled.
